al,co,cr,cu,fe,ni
46,9,14,8,17,6
38,13,24,6,8,11
45,7,18,8,16,6
40,28,15,0,11,6
45,21,10,8,7,9
47,16,9,10,11,7
40,15,13,9,16,7
39,14,16,8,17,6
46,14,10,7,17,6
40,13,23,10,5,9
45,10,14,5,14,12
42,17,13,7,9,12
42,14,13,5,16,10
44,16,12,8,8,12
42,11,22,5,6,14
41,11,24,0,17,7
44,7,27,8,7,7
40,17,15,5,12,11
40,17,13,7,18,5
38,12,31,5,6,8
40,21,12,7,15,5
41,18,17,0,12,12
45,7,23,6,7,12
37,13,27,8,8,7
45,6,21,9,12,7
36,22,22,8,6,6
42,14,13,9,11,11
45,14,10,7,17,7
41,16,13,9,11,10
34,22,26,5,6,7
41,15,18,11,6,9
47,9,18,8,6,12
45,16,9,8,16,6
42,10,27,10,6,5
39,21,20,0,20,0
40,26,15,0,13,6
36,15,29,5,6,9
43,11,20,6,6,14
39,16,15,10,15,5
39,10,25,9,12,5
47,13,11,5,17,7
45,19,11,6,7,12
42,7,27,7,12,5
47,7,18,6,16,6
45,12,13,11,9,10
46,22,9,5,9,9
39,12,20,7,12,10
39,10,29,6,7,9
46,9,20,12,8,5
43,6,24,7,11,9
41,10,18,7,13,11
40,14,21,12,8,5
45,15,13,13,8,6
42,7,22,7,15,7
41,15,12,8,15,9
40,12,25,0,17,6
37,12,26,6,13,6
45,17,13,11,5,9
36,18,26,8,5,7
44,8,17,9,11,11
41,11,15,8,16,9
46,17,11,7,7,12
43,14,13,13,12,5
42,13,13,6,16,10
35,20,23,5,11,6
44,14,11,6,18,7
37,18,22,8,6,9
42,13,18,9,6,12
41,9,26,5,7,12
46,9,23,11,6,5
40,13,23,6,5,13
38,11,25,6,15,5
42,11,16,8,11,12
46,15,11,10,8,10
40,17,14,10,11,8
45,19,9,6,16,5
44,8,20,6,9,13
44,20,10,7,9,10
36,16,30,6,5,7
41,15,15,9,9,11
45,11,11,10,15,8
46,8,29,6,5,6
45,8,30,5,5,7
44,16,10,10,11,9
44,8,25,7,5,11
45,19,9,5,15,7
43,7,21,10,12,7
44,8,16,8,13,11
39,21,15,7,9,9
45,15,9,9,15,7
47,18,11,12,7,5
42,8,23,5,17,5
41,20,12,9,10,8
46,12,11,6,16,9
42,9,17,11,14,7
41,8,26,9,10,6
36,16,24,5,11,8
41,12,14,9,18,6
38,17,23,0,13,9
41,11,18,6,12,12
43,13,14,5,12,13
47,8,17,6,17,5
41,21,14,8,6,10
40,13,16,11,13,7
36,16,24,8,10,6
46,18,9,10,10,7
43,16,10,11,15,5
40,16,19,11,6,8
47,10,14,5,11,13
37,21,22,0,12,8
44,9,21,10,6,10
44,14,11,11,11,9
35,19,24,6,9,7
35,20,23,6,10,6
45,17,11,7,8,12
45,7,29,6,7,6
40,15,16,5,13,11
44,18,13,9,5,11
45,6,21,9,11,8
41,14,14,8,12,11
44,13,13,5,12,13
41,15,13,9,12,10
46,15,9,10,13,7
42,8,27,9,8,6
40,19,17,9,5,10
41,8,22,6,13,10
35,23,26,0,7,9
42,19,10,8,16,5
43,18,12,12,9,6
46,18,9,6,11,10
39,18,15,5,16,7
46,6,19,6,13,10
46,6,23,7,8,10
40,18,14,9,10,9
47,9,14,11,11,8
43,12,13,12,12,8
41,13,27,0,5,14
39,11,25,10,10,5
44,14,10,8,17,7
43,10,22,5,6,14
43,18,14,8,5,12
45,10,19,6,6,14
42,20,14,0,16,8
45,6,26,5,13,5
44,11,12,10,13,10
36,14,26,6,13,5
35,22,22,6,10,5
47,8,22,9,5,9
40,22,18,0,7,13
41,12,16,10,11,10
40,19,15,11,9,6
44,8,19,5,18,6
40,16,18,11,7,8
37,16,25,6,5,11
45,17,13,13,7,5
40,24,17,0,7,12
47,13,13,7,7,13
35,22,24,5,5,9
40,11,23,11,9,6
43,9,25,0,17,6
35,22,26,0,10,7
42,13,18,12,7,8
36,14,31,5,9,5
43,12,21,12,5,7
47,16,11,7,7,12
39,9,26,7,12,7
39,14,17,6,17,7
43,21,12,9,6,9
45,14,10,11,12,8
37,20,18,5,15,5
44,17,9,10,14,6
36,18,27,0,12,7
39,22,14,5,13,7
41,8,29,7,8,7
47,12,16,6,5,14
42,15,18,13,7,5
39,18,21,11,5,6
46,12,12,8,10,12
42,31,14,0,7,6
41,19,12,5,14,9
40,19,15,7,8,11
42,8,21,10,14,5
41,11,16,11,13,8
46,16,13,7,5,13
45,14,11,7,11,12
45,15,13,5,8,14
42,7,24,9,11,7
45,11,12,9,12,11
44,7,19,5,15,10
42,15,11,11,16,5
45,15,10,7,12,11
47,11,11,10,14,7
42,20,14,9,5,10
45,8,25,10,7,5
38,14,19,9,15,5
40,12,19,5,19,5
47,12,12,12,10,7
45,16,9,7,15,8
45,16,13,5,7,14
44,13,11,10,12,10
38,13,31,6,5,7
47,9,13,9,15,7
39,21,14,9,12,5
41,9,22,9,9,10
40,21,12,7,14,6
39,20,17,10,7,7
43,13,14,11,9,10
42,13,13,7,19,6
45,9,15,12,12,7
37,18,25,0,10,10
38,13,29,0,12,8
42,18,11,10,11,8
42,7,22,7,12,10
46,9,13,10,13,9
43,7,22,10,11,7
42,15,12,7,13,11
38,16,26,0,8,12
46,8,16,5,13,12
42,9,19,7,11,12
46,8,19,11,8,8
44,19,11,5,9,12
42,11,22,0,18,7
43,10,16,6,19,6
41,9,25,9,7,9
39,15,23,11,6,6
44,12,19,12,5,8
36,20,27,0,6,11
47,6,23,5,8,11
46,7,18,5,12,12
47,7,19,6,16,5
47,10,19,12,6,6
34,22,26,6,7,5
44,10,14,7,13,12
41,8,29,7,10,5
38,20,16,5,16,5
40,14,15,6,17,8
45,10,16,11,8,10
39,14,19,11,11,6
42,8,28,6,6,10
35,16,27,6,10,6
40,13,15,10,14,8
36,15,26,5,9,9
46,9,14,9,11,11
44,6,23,7,14,6
39,12,32,0,12,5
35,17,31,5,7,5
38,13,28,5,5,11
47,14,10,5,15,9
38,13,29,0,13,7
47,12,11,6,13,11
39,17,15,6,15,8
42,19,15,12,6,6
37,21,20,6,6,10
45,11,17,13,8,6
43,22,10,9,10,6
43,10,25,11,6,5
41,10,16,9,16,8
38,20,22,0,8,12
41,15,14,5,19,6
39,15,18,11,11,6
45,9,15,7,18,6
43,13,20,0,9,15
37,15,21,7,13,7
47,9,17,12,9,6
46,7,20,9,8,10
39,11,28,5,6,11
46,12,15,11,6,10
46,10,14,5,18,7
36,31,23,0,5,5
43,11,14,7,13,12
44,6,21,6,14,9
47,10,13,6,17,7
42,13,14,6,13,12
41,8,28,8,9,6
38,20,16,5,15,6
34,22,27,5,5,7
40,11,17,8,16,8
36,16,28,6,5,9
36,18,25,7,5,9
41,12,18,11,9,9
41,9,23,6,9,12
47,12,11,11,14,5
41,9,27,8,6,9
47,13,10,7,13,10
43,16,12,9,9,11
38,14,19,9,14,6
45,7,18,10,11,9
38,17,21,9,6,9
46,22,9,8,8,7
42,15,13,6,12,12
45,13,13,9,8,12
43,12,13,7,19,6
43,20,13,9,5,10
41,8,22,9,14,6
41,11,19,12,12,5
40,20,17,0,13,10
42,16,12,5,18,7
34,27,27,0,7,5
39,15,17,9,11,9
41,9,20,8,17,5
41,17,12,6,15,9
41,17,17,10,5,10
47,6,22,7,13,5
45,22,9,9,10,5
38,22,19,9,5,7
38,17,20,10,8,7
36,14,27,5,10,8
34,21,26,6,8,5
43,11,19,10,6,11
47,9,14,5,16,9
42,8,22,9,9,10
37,16,27,0,11,9
41,16,14,12,11,6
37,19,22,6,5,11
45,7,18,10,14,6
40,8,25,7,12,8
44,10,13,10,17,6
41,15,12,11,15,6
34,20,27,5,7,7
42,13,17,9,7,12
47,22,10,10,6,5
36,16,23,6,13,6
42,7,29,6,10,6
46,8,26,9,6,5
43,9,29,0,7,12
40,19,12,8,16,5
38,14,23,8,7,10
39,9,26,6,12,8
47,13,12,8,8,12
39,17,16,6,12,10
41,10,29,8,5,7
42,10,17,5,15,11
44,7,20,9,15,5
40,14,14,10,17,5
40,9,22,9,14,6
47,19,9,10,9,6
45,15,14,10,5,11
42,20,14,8,5,11
41,15,12,9,18,5
47,17,9,10,10,7
44,9,15,6,15,11
35,21,23,6,8,7
42,10,19,5,11,13
41,18,14,6,9,12
36,19,24,7,5,9
42,10,32,5,5,6
39,15,24,0,10,12
35,17,30,6,7,5
47,10,13,6,12,12
46,13,10,11,13,7
40,11,30,8,6,5
40,9,22,6,14,9
40,9,22,9,12,8
40,19,13,6,13,9
39,16,24,11,5,5
46,11,17,9,5,12
44,11,15,13,11,6
44,21,9,9,12,5
37,14,22,7,15,5
43,6,27,6,11,7
37,12,30,6,9,6
39,12,28,0,11,10
40,17,14,5,18,6
38,18,20,8,6,10
44,7,19,8,11,11
38,13,30,7,5,7
39,9,27,5,12,8
36,15,25,6,10,8
41,19,15,10,6,9
42,13,12,8,18,7
45,10,18,9,6,12
36,14,30,6,8,6
40,17,14,5,15,9
47,7,17,9,14,6
37,19,19,8,10,7
40,20,13,7,11,9
40,12,24,7,5,12
42,10,23,0,14,11
43,11,13,8,14,11
45,8,16,9,11,11
40,17,20,12,6,5
40,14,15,8,13,10
41,9,24,6,8,12
37,28,20,0,7,8
41,11,18,9,10,11
39,21,14,5,15,6
37,19,19,7,10,8
44,8,23,9,6,10
34,27,28,0,6,5
41,25,15,0,8,11
42,8,20,7,17,6
37,15,28,8,5,7
41,7,26,6,12,8
41,14,12,9,17,7
43,9,15,11,15,7
37,18,21,9,8,7
44,13,11,8,13,11
40,17,13,10,13,7
43,13,14,13,11,6
37,19,21,9,7,7
41,11,18,7,11,12
45,13,10,10,16,6
40,10,21,10,11,8
44,7,20,6,11,12
43,21,10,10,11,5
46,14,12,13,10,5
38,13,21,6,17,5
40,8,27,5,13,7
39,13,20,11,12,5
44,10,13,11,16,6
36,22,22,5,5,10
40,21,13,8,10,8
38,21,19,6,5,11
47,13,11,12,12,5
44,7,27,6,6,10
39,15,21,7,6,12
42,19,11,6,12,10
44,11,16,8,8,13
35,20,28,7,5,5
42,10,19,6,10,13
41,8,25,9,12,5
42,13,16,13,11,5
47,13,10,8,12,10
43,15,18,0,9,15
43,9,25,0,10,13
40,21,13,6,11,9
45,11,15,5,10,14
41,15,12,9,14,9
40,9,21,8,14,8
38,14,24,8,6,10
46,15,9,10,14,6
43,10,14,8,18,7
37,14,24,9,10,6
45,11,14,5,19,6
46,13,12,6,10,13
42,13,18,10,6,11
36,21,24,0,14,5
40,23,16,0,11,10
45,8,18,6,10,13
46,15,12,13,9,5
47,15,13,13,7,5
40,22,12,7,14,5
46,7,17,9,11,10
44,7,23,10,11,5
39,18,15,6,13,9
43,12,15,13,11,6
40,20,12,7,15,6
41,10,23,10,7,9
40,22,14,6,8,10
46,8,30,5,6,5
42,17,10,9,16,6
45,13,10,11,14,7
35,16,29,6,8,6
42,17,12,5,13,11
44,16,9,9,15,7
41,14,19,5,7,14
41,13,13,9,18,6
47,8,16,7,10,12
45,11,12,11,16,5
38,12,23,9,11,7
47,13,11,6,11,12
41,15,12,8,18,6
42,14,17,9,6,12
39,21,16,8,7,9
40,9,31,5,8,7
37,17,23,6,6,11
42,10,25,11,7,5
44,11,19,10,5,11
41,13,15,5,17,9
42,8,22,5,11,12
45,8,25,9,5,8
46,14,11,5,18,6
42,20,10,9,13,6
46,11,13,12,10,8
38,17,23,10,5,7
40,9,25,5,10,11
37,13,25,6,10,9
42,19,15,0,12,12
47,11,12,5,14,11
37,13,24,6,15,5
38,12,29,8,7,6
43,8,22,11,11,5
44,9,14,11,15,7
45,11,12,12,13,7
46,12,13,13,11,5
43,10,22,0,18,7
42,8,29,6,6,9
42,15,15,13,10,5
36,19,27,0,8,10
42,17,16,11,5,9
42,18,10,9,16,5
35,23,32,0,5,5
44,6,24,5,10,11
37,14,29,6,5,9
39,9,26,6,13,7
41,13,16,11,10,9
44,12,13,11,10,10
38,11,24,7,12,8
34,19,29,5,7,6
36,16,31,5,5,7
37,19,18,6,15,5
37,12,30,6,10,5
45,18,9,6,16,6
43,12,25,0,5,15
41,10,24,9,6,10
43,18,10,6,17,6
38,16,26,10,5,5
41,19,14,11,8,7
40,10,19,8,14,9
42,14,15,13,11,5
38,15,22,7,7,11
46,13,11,5,17,8
38,18,22,10,5,7
43,9,19,12,12,5
38,11,26,7,9,9
37,27,21,0,5,10
42,7,26,6,14,5
44,15,17,13,5,6
45,8,15,7,16,9
38,12,28,7,6,9
40,8,26,6,11,9
43,9,16,8,18,6
36,20,20,6,13,5
42,15,13,11,10,9
39,17,20,7,5,12
47,11,18,12,5,7
39,18,15,5,17,6
36,15,27,6,7,9
46,9,13,9,13,10
41,19,16,0,18,6
46,11,12,12,13,6
46,14,10,8,17,5
42,15,20,0,8,15
45,9,13,10,15,8
39,18,14,7,15,7
45,18,10,7,9,11
39,10,26,9,11,5
47,8,17,5,10,13
38,13,32,0,10,7
45,10,15,11,9,10
43,6,27,5,12,7
46,17,9,6,16,6
40,9,25,5,16,5
43,8,19,7,11,12
42,7,21,8,14,8
47,6,19,7,11,10
38,11,31,5,8,7
43,13,19,0,20,5
37,20,19,9,10,5
43,10,14,8,14,11
44,8,23,7,6,12
38,14,21,7,10,10
40,23,17,0,8,12
36,16,31,6,6,5
41,9,19,10,15,6
44,8,16,8,17,7
40,12,17,11,15,5
40,15,13,9,17,6
35,18,25,7,9,6
41,20,12,8,10,9
39,14,23,11,7,6
40,12,17,6,16,9
34,25,30,0,6,5
39,11,20,8,14,8
40,15,14,11,14,6
41,7,27,6,11,8
39,19,17,9,7,9
39,13,17,8,17,6
39,12,26,10,7,6
41,22,13,10,8,6
47,7,16,7,13,10
39,15,15,9,16,6
46,8,27,8,5,6
43,13,19,12,5,8
43,9,24,7,5,12
44,15,13,13,9,6
45,10,15,9,9,12
44,15,12,13,11,5
37,16,23,7,7,10
42,9,24,5,7,13
43,9,16,7,18,7
40,11,21,10,9,9
42,7,28,6,12,5
42,19,12,7,9,11
42,9,23,10,7,9
41,10,17,10,13,9
40,19,14,11,11,5
46,9,20,9,5,11
43,6,24,7,13,7
40,13,15,9,18,5
43,9,32,0,11,5
41,11,17,7,19,5
44,6,21,7,12,10
45,7,25,8,6,9
35,17,27,7,8,6
38,14,26,10,7,5
40,12,24,9,5,10
44,8,19,8,9,12
46,21,10,8,6,9
41,25,14,0,15,5
39,19,14,6,16,6
40,14,16,7,12,11
47,10,20,12,6,5
34,20,28,5,6,7
38,13,20,8,14,7
46,9,13,10,15,7
47,12,11,11,11,8
42,18,16,5,5,14
46,13,13,13,9,6
42,14,17,10,6,11
44,13,12,8,11,12
46,9,19,7,6,13
46,8,22,11,8,5
41,17,13,7,11,11
41,14,15,9,10,11
45,15,11,11,9,9
44,15,11,5,18,7
47,8,15,10,11,9
41,8,24,9,13,5
44,9,14,9,17,7
35,26,24,0,8,7
42,8,21,5,17,7
43,15,11,7,13,11
45,9,21,9,5,11
37,12,28,7,9,7
47,10,12,7,14,10
42,13,16,10,8,11
40,8,27,5,11,9
45,6,23,5,15,6
43,16,11,5,15,10
38,12,28,6,6,10
42,19,13,8,7,11
45,7,27,8,7,6
37,16,21,9,11,6
46,6,20,9,11,8
45,15,14,9,5,12
40,20,15,9,7,9
45,10,13,6,16,10
43,11,14,7,19,6
46,6,20,9,12,7
41,10,20,5,12,12
47,10,14,12,10,7
46,14,13,13,8,6
40,15,15,5,17,8
43,17,15,0,12,13
45,20,9,7,10,9
43,12,14,5,19,7
47,15,10,6,17,5
45,11,12,12,14,6
38,15,21,10,9,7
42,7,22,6,15,8
44,11,13,7,13,12
47,7,19,10,12,5
35,21,24,5,6,9
40,10,20,8,17,5
41,15,16,5,10,13
47,8,15,10,14,6
38,12,27,9,8,6
45,10,18,12,7,8
47,8,15,6,16,8
41,10,20,7,10,12
46,7,17,7,16,7
39,12,28,0,15,6
41,14,16,8,9,12
44,12,18,11,5,10
40,13,16,6,18,7
41,9,19,7,17,7
38,16,21,9,7,9
38,15,20,7,10,10
43,12,18,11,6,10
46,14,16,13,5,6
39,18,14,7,17,5
42,8,31,5,9,5
42,16,11,7,18,6
43,10,17,10,9,11
38,15,22,9,7,9
45,16,10,12,12,5
45,7,18,5,14,11
45,9,19,12,8,7
41,14,20,0,13,12
42,15,13,7,11,12
43,21,13,6,5,12
41,12,19,11,8,9
47,6,19,8,11,9
47,7,25,8,6,7
45,11,11,9,15,9
41,13,15,10,11,10
42,8,22,8,9,11
46,7,25,9,8,5
40,18,16,8,7,11
44,13,11,12,13,7
44,11,18,11,6,10
40,8,25,7,13,7
42,7,25,5,15,6
47,7,18,6,10,12
43,16,20,0,5,16
43,15,13,6,10,13
36,22,20,6,9,7
39,17,14,8,16,6
44,7,28,6,6,9
42,14,12,12,14,6
42,10,22,8,6,12
37,21,18,7,10,7
38,11,24,6,14,7
38,22,16,6,10,8
39,17,19,8,6,11
43,10,24,0,9,14
41,17,14,6,10,12
42,12,13,11,17,5
47,9,13,10,14,7
45,19,11,12,8,5
37,17,19,7,14,6
39,29,17,0,7,8
44,22,9,6,12,7
42,8,20,6,17,7
44,21,9,8,11,7
40,18,14,5,13,10
43,11,15,11,10,10
47,15,13,5,6,14
43,11,17,13,11,5
43,12,34,0,5,6
42,14,18,9,5,12
37,15,32,5,5,6
44,12,11,11,16,6
42,19,10,7,15,7
37,16,22,9,9,7
46,6,23,8,12,5
37,13,27,5,8,10
41,11,20,8,8,12
42,16,12,8,11,11
45,13,11,9,11,11
37,18,28,0,5,12
41,18,14,12,10,5
38,18,19,5,9,11
40,22,16,0,13,9
39,12,19,8,13,9
38,15,25,0,15,7
42,11,15,8,19,5
42,13,13,6,18,8
44,7,18,8,16,7
40,22,13,9,10,6
46,15,9,8,13,9
41,11,21,8,7,12
40,10,24,5,9,12
47,7,21,9,7,9
38,12,25,7,8,10
36,18,29,0,7,10
41,11,22,11,7,8
41,19,11,9,13,7
47,13,11,12,11,6
45,11,14,13,12,5
35,22,24,6,5,8
36,21,25,0,8,10
45,9,21,8,5,12
43,12,14,11,10,10
44,8,16,7,14,11
46,13,10,11,14,6
47,9,14,10,15,5
40,10,19,9,16,6
45,12,12,8,11,12
44,8,26,5,5,12
40,13,17,6,13,11
40,14,15,7,14,10
44,7,19,10,14,6
37,19,18,7,13,6
42,8,22,6,10,12
45,6,24,6,14,5
44,9,16,5,14,12
44,11,13,6,18,8
43,11,21,0,19,6
47,8,23,10,6,6
44,18,11,6,9,12
43,11,19,12,7,8
41,12,22,0,14,11
41,9,20,7,12,11
38,17,20,8,7,10
40,10,26,10,9,5
47,21,11,11,5,5
40,13,15,9,14,9
39,15,18,6,11,11
44,14,12,5,19,6
45,10,18,10,6,11
40,8,27,7,10,8
40,9,31,5,10,5
38,12,26,9,8,7
43,17,13,8,7,12
39,12,25,10,7,7
39,13,19,8,11,10
40,19,12,9,15,5
46,10,13,9,17,5
37,15,21,6,15,6
39,13,18,6,17,7
43,7,23,6,16,5
42,11,15,7,19,6
40,16,13,8,18,5
36,25,22,0,10,7
42,21,10,7,15,5
36,22,22,7,5,8
40,16,14,7,13,10
42,7,25,7,14,5
42,9,20,9,9,11
47,13,15,6,5,14
42,16,15,7,7,13
46,14,14,10,5,11
39,16,19,9,7,10
41,12,14,10,14,9
42,11,22,10,5,10
45,18,10,11,9,7
38,13,32,0,11,6
37,14,26,9,8,6
37,20,20,6,7,10
44,20,9,6,15,6
43,9,24,0,17,7
42,11,15,12,15,5
45,11,12,10,17,5
47,9,19,11,6,8
37,20,22,9,5,7
41,10,19,5,14,11
47,12,14,12,7,8
46,6,20,5,15,8
37,20,18,6,12,7
44,8,23,11,9,5
40,20,16,10,6,8
36,20,21,5,10,8
46,8,18,10,8,10
47,13,13,13,9,5
38,21,16,6,11,8
43,11,13,12,14,7
46,8,16,9,10,11
39,14,16,9,17,5
40,12,25,5,5,13
39,18,18,11,8,6
42,9,26,7,5,11
40,11,19,11,13,6
41,9,19,8,17,6
45,16,12,13,9,5
39,12,19,10,14,6
44,13,10,10,15,8
38,11,24,8,12,7
41,8,21,9,14,7
45,16,14,12,5,8
42,18,11,6,18,5
46,9,20,5,6,14
39,14,27,10,5,5
47,9,13,7,14,10
44,8,22,11,8,7
44,18,9,8,16,5
40,13,17,5,15,10
39,13,18,6,16,8
46,10,13,7,12,12
43,14,11,12,14,6
36,20,21,6,9,8
45,7,17,9,12,10
41,17,11,8,16,7
43,6,26,5,13,7
43,13,18,13,7,6
39,12,19,7,14,9
42,12,13,10,18,5
45,12,13,7,10,13
43,11,21,11,5,9
42,10,17,6,13,12
46,9,20,8,5,12
41,9,20,10,15,5
37,15,29,0,10,9
38,16,17,7,16,6
41,9,25,10,8,7
39,11,20,8,16,6
36,22,25,0,6,11
36,15,26,8,9,6
39,9,29,6,10,7
36,21,22,5,6,10
43,22,12,6,6,11
39,18,20,0,18,5
37,15,22,9,11,6
42,12,18,10,7,11
43,11,14,8,19,5
47,7,17,8,15,6
44,6,23,5,11,11
36,21,24,0,13,6
38,14,26,5,5,12
46,9,25,10,5,5
47,10,13,10,10,10
41,8,23,8,15,5
47,14,10,5,14,10
39,10,22,8,14,7
41,21,11,9,13,5
34,22,29,5,5,5
47,6,26,5,7,9
40,8,27,6,10,9
40,13,21,6,7,13
46,16,9,7,16,6
40,11,24,11,9,5
42,20,12,11,9,6
42,7,25,5,10,11
37,22,18,7,9,7
44,16,15,13,6,6
42,11,15,6,15,11
45,7,20,5,17,6
41,11,20,5,10,13
45,6,27,5,12,5
38,22,22,0,5,13
39,10,24,6,11,10
44,8,19,6,18,5
44,10,15,11,10,10
47,6,19,5,13,10
38,18,18,6,10,10
46,6,21,9,10,8
39,15,17,5,18,6
44,8,19,5,11,13
37,15,25,7,6,10
47,11,12,6,17,7
47,7,17,10,12,7
40,19,18,11,5,7
42,8,19,9,16,6
42,15,11,8,18,6
45,11,13,5,14,12
43,8,19,11,11,8
42,13,12,9,14,10
42,19,10,9,13,7
45,13,10,10,13,9
44,8,25,8,5,10
43,20,13,8,5,11
44,19,10,11,10,6
42,10,25,10,5,8
40,14,14,8,18,6
44,10,19,6,7,14
43,15,10,11,15,6
37,14,30,6,5,8
40,14,15,11,13,7
43,13,14,7,10,13
37,19,24,0,10,10
47,8,15,8,11,11
45,17,9,6,15,8
44,6,28,5,11,6
40,13,18,11,10,8
45,8,28,8,6,5
46,15,11,9,8,11
42,7,22,6,13,10
36,15,26,7,8,8
38,20,16,9,12,5
45,16,9,10,15,5
42,14,13,5,18,8
40,8,25,6,13,8
36,19,26,0,11,8
46,17,14,13,5,5
42,7,22,9,12,8
38,19,21,0,15,7
41,19,15,12,8,5
41,12,17,11,10,9
41,10,30,0,8,11
45,12,13,13,11,6
43,14,12,6,19,6
44,8,16,11,14,7
39,11,21,6,14,9
45,9,31,5,5,5
41,9,22,8,9,11
45,21,10,9,7,8
45,20,12,12,6,5
47,14,13,5,7,14
45,8,18,5,18,6
42,18,11,6,13,10
43,6,26,7,10,8
40,14,20,9,6,11
42,9,16,10,16,7
40,9,21,8,15,7
44,18,14,5,5,14
44,10,14,12,12,8
38,14,19,7,17,5
45,7,19,8,16,5
39,18,21,0,10,12
39,16,15,7,15,8
45,12,13,5,19,6
47,15,9,8,15,6
41,11,21,12,10,5
43,19,13,12,7,6
39,13,19,5,15,9
44,14,12,13,12,5
41,27,14,0,10,8
44,15,10,9,12,10
46,7,17,6,16,8
47,7,26,5,5,10
35,19,31,0,8,7
39,9,27,5,13,7
39,19,19,0,16,7
42,10,33,0,10,5
41,15,16,11,8,9
47,7,21,6,7,12
38,12,22,7,16,5
40,12,20,7,9,12
45,10,13,12,13,7
45,7,20,7,9,12
38,15,21,6,9,11
38,18,20,10,7,7
42,10,15,11,16,6
35,21,31,0,5,8
45,9,21,5,6,14
36,18,24,7,6,9
38,20,19,10,7,6
45,9,21,12,8,5
39,11,20,9,14,7
44,17,10,5,14,10
44,8,17,7,12,12
44,6,21,6,13,10
34,20,26,5,9,6
44,17,9,8,16,6
37,16,24,6,6,11
39,11,26,9,7,8
46,11,11,10,13,9
38,19,16,6,14,7
42,10,25,0,10,13
45,6,22,9,10,8
44,6,24,7,9,10
41,21,15,6,5,12
46,8,17,5,11,13
40,17,15,11,10,7
40,8,27,6,13,6
40,17,18,6,6,13
46,8,16,10,10,10
45,6,20,9,12,8
37,16,20,7,13,7
44,6,25,8,11,6
40,26,15,0,12,7
42,16,13,12,10,7
38,19,21,0,16,6
41,10,24,5,7,13
35,23,27,0,5,10
44,7,18,9,12,10
39,11,21,7,17,5
34,22,27,6,6,5
40,11,20,10,10,9
42,8,28,7,6,9
42,8,21,7,17,5
43,10,15,7,13,12
42,13,23,0,7,15
46,13,10,10,12,9
40,10,25,9,7,9
37,16,20,6,16,5
46,22,10,6,6,10
42,16,17,13,7,5
47,8,14,8,14,9
41,10,20,11,10,8
40,12,23,10,6,9
40,19,13,5,16,7
41,13,13,8,16,9
45,19,12,7,5,12
39,16,19,8,7,11
37,19,19,9,11,5
47,12,11,8,11,11
41,9,20,9,11,10
40,12,31,0,6,11
40,11,27,10,7,5
37,16,20,6,15,6
35,21,30,0,5,9
41,8,30,6,8,7
40,9,28,7,7,9
41,10,19,11,11,8
45,8,17,8,10,12
40,14,21,11,6,8
44,7,28,5,6,10
47,6,23,5,14,5
38,12,24,5,11,10
42,7,22,9,13,7
46,9,13,8,16,8
42,12,21,0,19,6
40,16,15,7,11,11
34,24,30,0,6,6
42,15,17,6,6,14
39,15,16,10,13,7
38,16,17,9,15,5
39,11,22,10,13,5
46,14,11,11,9,9
46,8,18,8,8,12
45,14,13,9,7,12
45,13,14,6,8,14
37,19,19,5,12,8
34,19,27,5,9,6
43,7,26,7,7,10
43,9,30,7,5,6
46,19,9,6,10,10
46,15,14,13,6,6
41,16,15,9,8,11
40,14,15,7,19,5
43,9,24,11,7,6
45,15,9,10,14,7
46,15,13,12,6,8
44,7,20,5,12,12
43,16,10,7,17,7
41,24,14,0,14,7
42,17,11,8,12,10
36,14,26,7,12,5
44,12,12,12,12,8
47,13,12,6,9,13
45,7,23,10,8,7
39,13,21,11,10,6
42,9,19,5,18,7
37,14,22,8,14,5
40,15,19,9,6,11
42,8,24,6,8,12
43,7,19,8,13,10
40,9,22,7,16,6
41,12,15,8,19,5
41,10,19,5,18,7
37,14,23,5,16,5
44,9,23,11,6,7
40,10,20,8,12,10
41,8,25,9,9,8
42,12,16,6,11,13
39,12,20,9,11,9
42,9,19,9,10,11
39,12,20,6,18,5
40,12,25,11,7,5
43,9,17,8,11,12
46,8,15,6,16,9
46,15,10,11,10,8
39,13,20,7,10,11
36,26,23,0,5,10
46,16,9,6,15,8
46,15,10,5,13,11
38,14,27,9,5,7
45,9,13,10,14,9
46,13,11,9,10,11
39,21,14,5,16,5
43,7,24,7,8,11
46,9,14,6,17,8
40,15,20,9,5,11
38,22,16,5,11,8
41,12,18,12,10,7
42,13,19,0,14,12
41,14,15,6,12,12
39,12,29,0,15,5
43,15,10,8,17,7
42,7,21,8,13,9
47,6,25,6,7,9
40,12,18,5,18,7
45,9,15,6,18,7
36,16,26,8,7,7
39,9,26,7,11,8
41,17,14,11,9,8
39,16,15,10,14,6
38,19,22,0,10,11
39,17,15,6,18,5
43,8,17,8,17,7
36,15,25,8,11,5
46,14,14,9,5,12
42,8,25,10,9,6
46,9,18,12,8,7
44,7,18,10,14,7
36,15,27,7,7,8
45,8,24,9,5,9
39,19,18,6,6,12
38,16,20,10,9,7
40,12,26,10,5,7
42,12,18,9,7,12
40,13,16,7,19,5
37,18,20,5,11,9
42,9,24,11,9,5
39,16,17,10,10,8
43,16,11,8,11,11
47,15,10,9,9,10
39,13,22,11,9,6
39,10,30,6,7,8
43,8,23,7,7,12
43,16,16,12,5,8
42,17,14,12,8,7
35,22,22,5,10,6
